 IAU NAME ALT NAME   RA(J2000.0)     DEC(J2000.0)  RA ERROR DEC ERROR  CCF  EPOCH   FIRST   LAST        #   DELAY RATE    PRI
                   HR MN    SEC     DG MN ARC SEC  TIME SEC ARC SEC          MJD     MJD     MJD       EXP   OBS   OBS

 0906+015 $        09 09 10.091585  01 21 35.61877 0.000008 0.00016  -0.497 47924.9 47004.0 49063.0     19   138   138     2
 0912+029 $        09 14 37.913525  02 45 59.24598 0.000153 0.00230  -0.998 47766.7 47406.0 48159.0      6    12    12     2
 0912+297 $        09 15 52.401633  29 33 24.04352 0.000024 0.00044   0.441 48726.0 48193.0 49252.0      6    81    81     2
 0917+449 $        09 20 58.458496  44 41 53.98535 0.000007 0.00010  -0.169 48651.0 46976.0 49032.0     21    95    95     1
 0919-260 $        09 21 29.353851 -26 18 43.38511 0.000010 0.00023   0.000 48410.7 46839.0 49366.0     87   762   762     5
 0917+624 $        09 21 36.231131  62 15 52.18070 0.000018 0.00013   0.063 47920.6 45774.0 49062.0      8   146   146     1
 0923+392 4C39.25  09 27  3.013913  39 02 20.85245 0.000003 0.00004  -0.011 47683.1 44088.0 49405.0   1459 62548 62548     1
 0925-203 $        09 27 51.824318 -20 34 51.23120 0.000023 0.00035  -0.848 48375.8 47776.0 48915.0     23    49    49     2
 0945+408 $        09 48 55.338171  40 39 44.58771 0.000013 0.00016   0.215 48403.0 47930.0 49120.0      8   102   102     1
 0952+179 $        09 54 56.823624  17 43 31.22288 0.000010 0.00041   0.229 48478.5 48138.0 49175.0     12    81    81     1
 0951+692 SN1993J  09 55 24.774793  69 01 13.70323 0.000030 0.00022   0.000 49235.0 49224.0 49246.0      2    84    84     4
 0951+693 M81      09 55 33.173044  69 03 55.06152 0.000117 0.00014   0.000 49235.0 49224.0 49246.0      2   171   171     4
 0953+254 OK290    09 56 49.875379  25 15 16.05025 0.000002 0.00005  -0.014 48627.3 44446.0 49366.0    123  2006  2006     1
 0955+476 $        09 58 19.671665  47 25  7.84292 0.000003 0.00004  -0.039 49112.0 48719.0 49405.0    129  4276  4276     1
