Name,Cal Tag,RA,Dec
PKS1908-202 | J191109-200655,radec gaincal,19:11:09.6538,-20:06:55.015
J191157-054820,radec gaincal,19:11:57.490,-05:48:20.200
J191239-801006,radec gaincal,19:12:39.850,-80:10:6.800
J1910+052,radec gaincal,19:12:54.3036,+05:18:01.002
PKSB1903-802,radec gaincal,19:20:40.0,-80:10:05.9
J192155-352639,radec gaincal,19:21:55.210,-35:26:41.500
J1922+0841,radec gaincal,19:22:18.63365,+08:41:57.3733
J192330-074137,radec gaincal,19:23:30.820,-07:41:37.100
PKS1920-211 | J192332-210433,radec gaincal,19:23:32.189815,-21:04:33.333080
PKSJ1924-2914 | OV-236 | 1921-293,radec gaincal,19:24:51.11,-29:14:31.0
J193135-140559,radec gaincal,19:31:35.560,-14:05:59.500
PKSJ1935-4620,radec gaincal,19:35:56.50,-46:20:41.0
J193557-462043,radec gaincal,19:35:57.150,-46:20:43.100
J193654-002157,radec gaincal,19:36:54.100,-00:21:57.900
PKS1933-587,radec gaincal,19:37:32.37,-58:38:27.80
1934-638,radec gaincal,19:39:25.026,-63:42:45.63
J194013-225955,radec gaincal,19:40:13.690,-22:59:55.000
J194114-152431 | 1938-155,radec gaincal,19:41:14.970,-15:24:31.300
PKS1947+079,radec gaincal,19:50:05.54,+08:07:13.981
J195123-273720,radec gaincal,19:51:23.260,-27:37:20.500
3C404,radec gaincal,19:56:11.0910,-07:36:54.567
PKS1954-388 | J195759-384505 ,radec gaincal,19:57:59.82,-38:45:06.36
PKSJ1958-5509,radec gaincal,19:58:28.90,-55:09:12.0
3C405,radec gaincal,19:59:28.36,+40:44:02.1
J200756-101638,radec gaincal,20:07:56.810,-10:16:38.400
J200925-484953,radec gaincal,20:09:25.100,-48:49:53.900
PKS2008-068,radec gaincal,20:11:14.216,-06:44:03.555
J201427+233452,radec gaincal,20:14:27.580,+23:34:52.900
J202807-152120,radec gaincal,20:28:07.230,-15:21:20.900
J203316-225320,radec gaincal,20:33:16.600,-22:53:20.900
PKS2032-350 | J203547-345403,radec gaincal,20:35:47.81,-34:54:08.925
J2040-5735,radec gaincal,20:40:01.1,-57:35:09.65
2050+364,radec bpcal,20:52:52.0499,36:35:35.309
J205616-471448,radec gaincal,20:56:16.220,-47:14:48.100
J210336-274920,radec gaincal,21:03:36.230,-27:49:20.700
J2107-2526,radec gaincal,21:07:21,-25:26:48
J210933-411021,radec gaincal,21:09:33.120,-41:10:21.200
PKS2107-105 | J211001-102058,radec gaincal,21:10:00.97,-10:20:57.32
J211440-254148,radec gaincal,21:14:40.120,-25:41:48.700
J211636-205551,radec gaincal,21:16:36.300,-20:55:51.900
J211810-301916,radec gaincal,21:18:10.690,-30:19:15.100
PKS2117-61,radec gaincal,21:21:04.07,-61:11:24.62
2117-642,radec gaincal,21:21:55.02,-64:04:30.04
J212344+250410,radec gaincal,21:23:44.590,+25:04:10.800
PKSJ2129-1821,radec gaincal,21:29:21.42,-18:21:22.9
PKSJ2131-2036 | 2128-208 |J213101-203656 ,radec gaincal,21:31:01.52,-20:36:56.1
PKS2128-123 | J213135-120706 ,radec gaincal,21:31:35.26,-12:07:04.79
J213410-015317 | 2131-021,radec gaincal,21:34:10.310,-01:53:17.000
2134+004,radec gaincal,21:36:38.586323,+00:41:54.2140310
J213713-275457,radec gaincal,21:37:13.530,-27:54:57.000
PKSJ2137-2036 ,radec gaincal,21:37:50.04,-20:36:56.1
2134-470,radec gaincal,21:38:01.06,-46:46:40.06
J214703-174011,radec gaincal,21:47:03.280,-17:40:11.000
J214805+065739,radec gaincal,21:48:05.480,+06:57:39.400
2146-133,radec gaincal,21:49:28.65,-13:04:25.16
J215151-194606,radec gaincal,21:51:51.000,-19:46:6.000
J215155-302754,radec gaincal,21:51:55.540,-30:27:53.600
