0506+056,J0509+056,        , , , 05:09:25.9644,   5:41:35.333, VLA_CalList
0506+101,J0509+101,        , , , 05:09:27.4570,  10:11:44.600, VLA_CalList
0507+179,J0510+180,        , , , 05:10:02.3691,  18:00:41.581, VLA_CalList
0508+138,J0511+139,        , , , 05:11:38.3196,  13:57:19.193, VLA_CalList
0509+011,J0511+011,        , , , 05:11:57.6124,   1:10:49.435, VLA_CalList
0509+152,J0512+152,        , , , 05:12:41.0129,  15:17:23.479, VLA_CalList
0511+009,J0513+010,        , , , 05:13:40.0325,   1:00:21.654, VLA_CalList
0511-220,J0513-219,        , , , 05:13:49.1143, -21:59:16.092, VLA_CalList
0514-161,J0516-160,        , , , 05:16:15.9293, -16:03:07.634, VLA_CalList
0515+067,J0517+068,        , , , 05:17:51.3441,   6:48:03.210, VLA_CalList
0515+208,J0518+209,        , , , 05:18:03.8244,  20:54:52.497, VLA_CalList
0517+454,J0520+454,        , , , 05:20:47.5200,  45:28:34.952, VLA_CalList
0518+165,J0521+166,3C138   , , , 05:21:09.8860,  16:38:22.051, VLA_CalList
0519-208,J0521-207,        , , , 05:21:38.8950, -20:47:39.388, VLA_CalList
0518+211,J0521+212,        , , , 05:21:45.9658,  21:12:51.451, VLA_CalList
0519+011,J0522+012,        , , , 05:22:17.4674,   1:13:31.186, VLA_CalList
0521-365,J0522-364,        , , , 05:22:57.9846, -36:27:30.850, VLA_CalList
0524+034,J0527+035,        , , , 05:27:32.7054,   3:31:31.516, VLA_CalList
0528-250,J0530-250,        , , , 05:30:07.9627, -25:03:29.899, VLA_CalList
0528+134,J0530+135,        , , , 05:30:56.4167,  13:31:55.149, VLA_CalList
0529+075,J0532+075,        , , , 05:32:38.9985,   7:32:43.345, VLA_CalList
0529+483,J0533+483,        , , , 05:33:15.8657,  48:22:52.807, VLA_CalList
0531+194,J0534+194,        , , , 05:34:44.5183,  19:27:21.378, VLA_CalList
0532+506,J0536+506,        , , , 05:36:20.2319,  50:38:26.251, VLA_CalList
0534-340,J0536-340,        , , , 05:36:28.4383, -34:01:11.381, VLA_CalList
0537-441,J0538-440,        , , , 05:38:50.3615, -44:05:08.939, VLA_CalList
0537-158,J0539-158,        , , , 05:39:32.0101, -15:50:30.321, VLA_CalList
0536+145,J0539+145,        , , , 05:39:42.3659,  14:33:45.561, VLA_CalList
0537-286,J0539-286,        , , , 05:39:54.2814, -28:39:55.947, VLA_CalList
0537+531,J0541+532,        , , , 05:41:16.1740,  53:12:24.834, VLA_CalList
0539-057,J0541-056,        , , , 05:41:38.0833,  -5:41:49.428, VLA_CalList
0538+474,J0541+474,        , , , 05:41:49.2454,  47:29:07.611, VLA_CalList
0538+498,J0542+498,3C147   , , , 05:42:36.1379,  49:51:07.233, VLA_CalList
0548+378,J0552+379,        , , , 05:52:17.9368,  37:54:25.281, VLA_CalList
0546+726,J0552+726,        , , , 05:52:52.9972,  72:40:45.129, VLA_CalList
0544+273,J0547+273,        , , , 05:47:34.1489,  27:21:56.842, VLA_CalList
0550+032,J0552+032,        , , , 05:52:50.1014,   3:13:27.243, VLA_CalList
0552+398,J0555+398,        , , , 05:55:30.8056,  39:48:49.165, VLA_CalList
0554+580,J0559+580,        , , , 05:59:13.3941,  58:04:03.446, VLA_CalList
0556+238,J0559+238,        , , , 05:59:32.0331,  23:53:53.926, VLA_CalList
0600+177,J0603+177,        , , , 06:03:09.1302,  17:42:16.810, VLA_CalList
0600+219,J0603+219,        , , , 06:03:51.5570,  21:59:37.697, VLA_CalList
0602-424,J0604-424,        , , , 06:04:25.1779, -42:25:29.593, VLA_CalList
0601+203,J0604+203,3C152   , , , 06:04:28.6695,  20:21:22.232, VLA_CalList
0600+442,J0604+442,        , , , 06:04:35.6287,  44:13:58.549, VLA_CalList
0602+405,J0605+405,        , , , 06:05:50.8553,  40:30:08.103, VLA_CalList
0603+476,J0607+476,        , , , 06:07:23.2549,  47:39:46.942, VLA_CalList
0602+673,J0607+673,        , , , 06:07:52.6716,  67:20:55.409, VLA_CalList
